iso,countryname,year,rGDP,nGDP,deflator,govdebt_GDP,govdef,cbrate,CA_GDP,USDfx
BOL,Bolivia,1984,6.399649143218994,19.346939086914063,3.023124933242798,166.49993896484375,-4.914122581481934,149,-2.882072925567627,0.003135999897494912
BOL,Bolivia,1985,769.56512451171875,2366.15771484375,3.0746686458587646,205.24717712402344,-231.88345336914063,NA,-5.305659770965576,0.44002899527549744
BOL,Bolivia,1986,2411.284912109375,7609.76904296875,3.155897855758667,148.99485778808594,-205.46376037597656,NA,-9.816251754760742,1.9219579696655273
BOL,Bolivia,1987,2900.7578125,8934.3984375,3.080022096633911,145.34483337402344,-687.94866943359375,NA,-9.941130638122559,2.0548501014709473
BOL,Bolivia,1988,3610.326904296875,10805.5,2.9929423332214355,115.91166687011719,-702.35748291015625,NA,-6.62074089050293,2.3502418994903564
BOL,Bolivia,1989,4402.02978515625,12693.9052734375,2.883648157119751,97.96355438232422,-698.164794921875,NA,-5.727343559265137,2.691683053970337
BOL,Bolivia,1990,5603.681640625,15443.1357421875,2.7558910846710205,102.9035873413086,-679.49798583984375,NA,-4.086217403411865,3.172650098800659
BOL,Bolivia,1991,7307.8818359375,19132.12890625,2.6180129051208496,92.79603576660156,-803.54937744140625,NA,-4.914600372314453,3.5806078910827637
BOL,Bolivia,1992,8547.119140625,22014.005859375,2.5756053924560547,92.37962341308594,-968.61627197265625,NA,-9.459822654724121,3.900516986846924
BOL,Bolivia,1993,9901.826171875,24458.96875,2.4701473712921143,83.77587890625,-1491.9970703125,NA,-8.814760208129883,4.265082836151123
BOL,Bolivia,1994,11710.314453125,27636.341796875,2.359999895095825,87.562103271484375,-829.09027099609375,NA,-1.5080528259277344,4.620516777038574
BOL,Bolivia,1995,14297.931640625,32235.072265625,2.2545268535614014,81.74236297607422,-585.7113037109375,NA,-4.504731178283691,4.800342082977295
BOL,Bolivia,1996,17375.595703125,37536.6484375,2.160308599472046,72.4298095703125,-713.1962890625,16.5,-5.133062362670898,5.074613094329834
BOL,Bolivia,1997,20231.828125,41643.8671875,2.0583343505859375,64.5650634765625,-1366.335205078125,13.25,-6.983577728271484,5.254258155822754
BOL,Bolivia,1998,23891.73828125,46822.32421875,1.9597705602645874,61.15935134887695,-2387.9384765625,14.100000381469727,-7.838780879974365,5.510132789611816
BOL,Bolivia,1999,24677.25,48156.17578125,1.9514400959014893,61.67385482788086,-1847.75244140625,12.5,-5.890117168426514,5.812407970428467
BOL,Bolivia,2000,27277.681640625,51928.4921875,1.9036989212036133,74.31800079345703,-1935.8941650390625,10,-5.315046310424805,6.183541774749756
BOL,Bolivia,2001,28731.458984375,53790.328125,1.8721753358840942,82.97699737548828,-3668.50048828125,8.5,-3.365607738494873,6.606916904449463
BOL,Bolivia,2002,31028.720703125,56682.328125,1.8267697095870972,86.68699645996094,-4981.2431640625,12.5,-4.451755523681641,7.170000076293945
BOL,Bolivia,2003,34806.1875,61904.44921875,1.7785472869873047,95.6449966430664,-4874.9755859375,7.5,0.9353024959564209,7.6591668128967285
